State,City,Year,SO2,NO2,PM2_5,AQI,Lat,Long
Uttar Pradesh,LUCKNOW,1993,54.64166667,52.975,118.9751122,317,26.839281,80.923133
Madhya Pradesh,RAIPUR,1993,34.48104604,34.83333333,72.51816363,193,21.233333,81.633333
Gujarat,AHMEDABAD,1993,122.4833333,106.0416667,244.7488022,652,23.025793,72.587265
Bihar,DHANBAD,1993,28.45454545,48.95454545,40.79146704,108,23.801988,86.443244
Uttar Pradesh,AGRA,1993,24.41818182,11.01818182,40.79146704,108,27.187935,78.003944
Maharashtra,MUMBAI,1993,49.18333333,65.81666667,81.58293408,217,18.987807,72.836447
Maharashtra,PUNE,1993,82.4625,115.1625,122.3744011,326,18.513271,73.849852
Bihar,PATNA,1994,13.15454545,28.00909091,44.49978223,118,25.615379,85.101027
Kerala,COCHIN,1994,91.69090909,120.8090909,266.9986933,712,9.9312,76.2673
Kerala,KOTTTAYAM,1994,0.681818182,17.38181818,44.49978223,118,9.5916,76.5222
Odisha,ANGUL,1994,11.81390653,28.15595225,44.49978223,118,20.8444,85.1511
Gujarat,BARODA,1994,155.5090909,61.10909091,133.4993467,356,22.3072,73.1812
Kerala,TRIVENDRUM,1994,70.47272727,87.13636364,133.4993467,356,8.5241,76.9366
Odisha,NALCO,1994,11.42521227,24.52253391,40.79146704,108,20.8653,85.1842
Goa,PANJIM,1994,25.2125,20.20120286,40.79146704,108,15.4909,73.8278
Kerala,KOTTAYAM,1994,1.027272727,47.91818182,44.49978223,118,9.6,76.52
Uttar Pradesh,LUCKNOW,1994,72.70909091,68.26363636,122.3744011,326,26.839281,80.923133
Madhya Pradesh,BHOPAL,1994,21.85,31.63,77.50378738,206,23.254688,77.402892
Madhya Pradesh,BHILAI,1994,25.98627621,38.24444444,63.45339317,169,21.209188,81.428497
Karnataka,MYSORE,1994,55.73636364,57.32727273,88.99956445,237,12.292664,76.638543
Uttar Pradesh,GAJROULA,1994,159.0098048,87.88654097,88.38151193,235,28.8382,78.2422
Madhya Pradesh,NAGDA,1994,55.81111111,41.41111111,72.51816363,193,23.46,75.42
Maharashtra,DOMBIVLI,1994,54.5,21,40.79146704,108,19.2094,73.0939
